dataset_id,case_id,system,metric,metric_label,kind,requires_human,value
real_case_study_v1,federated_learning_x_privacy,keyword,evidence_citation_validity,Evidence citation validity,automatic,False,1.0000
real_case_study_v1,federated_learning_x_privacy,keyword,evidence_grounding_precision,Evidence grounding precision,automatic,False,0.6667
real_case_study_v1,federated_learning_x_privacy,keyword,hallucination_rate,Hallucination rate,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,keyword,citation_coverage,Citation coverage (recall),automatic,False,0.6667
real_case_study_v1,federated_learning_x_privacy,keyword,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,federated_learning_x_privacy,keyword,intersection_relevance,Intersection relevance (proxy),automatic,True,1.0000
real_case_study_v1,federated_learning_x_privacy,keyword,hypothesis_grounding_ratio,Hypothesis grounding ratio,automatic,False,1.0000
real_case_study_v1,federated_learning_x_privacy,keyword,hypothesis_plausibility_proxy,Hypothesis plausibility (proxy),automatic,True,0.8333
real_case_study_v1,federated_learning_x_privacy,keyword,experiment_design_completeness,Experiment-design completeness,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,embedding,evidence_citation_validity,Evidence citation validity,automatic,False,1.0000
real_case_study_v1,federated_learning_x_privacy,embedding,evidence_grounding_precision,Evidence grounding precision,automatic,False,0.3333
real_case_study_v1,federated_learning_x_privacy,embedding,hallucination_rate,Hallucination rate,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,embedding,citation_coverage,Citation coverage (recall),automatic,False,0.3333
real_case_study_v1,federated_learning_x_privacy,embedding,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,federated_learning_x_privacy,embedding,intersection_relevance,Intersection relevance (proxy),automatic,True,0.6667
real_case_study_v1,federated_learning_x_privacy,embedding,hypothesis_grounding_ratio,Hypothesis grounding ratio,automatic,False,1.0000
real_case_study_v1,federated_learning_x_privacy,embedding,hypothesis_plausibility_proxy,Hypothesis plausibility (proxy),automatic,True,0.1667
real_case_study_v1,federated_learning_x_privacy,embedding,experiment_design_completeness,Experiment-design completeness,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,llm_only,evidence_citation_validity,Evidence citation validity,automatic,False,
real_case_study_v1,federated_learning_x_privacy,llm_only,evidence_grounding_precision,Evidence grounding precision,automatic,False,
real_case_study_v1,federated_learning_x_privacy,llm_only,hallucination_rate,Hallucination rate,automatic,False,
real_case_study_v1,federated_learning_x_privacy,llm_only,citation_coverage,Citation coverage (recall),automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,llm_only,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,federated_learning_x_privacy,llm_only,intersection_relevance,Intersection relevance (proxy),automatic,True,1.0000
real_case_study_v1,federated_learning_x_privacy,llm_only,hypothesis_grounding_ratio,Hypothesis grounding ratio,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,llm_only,hypothesis_plausibility_proxy,Hypothesis plausibility (proxy),automatic,True,0.4167
real_case_study_v1,federated_learning_x_privacy,llm_only,experiment_design_completeness,Experiment-design completeness,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,evidence_citation_validity,Evidence citation validity,automatic,False,1.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,evidence_grounding_precision,Evidence grounding precision,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,hallucination_rate,Hallucination rate,automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,citation_coverage,Citation coverage (recall),automatic,False,0.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,federated_learning_x_privacy,pipeline,intersection_relevance,Intersection relevance (proxy),automatic,True,1.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,hypothesis_grounding_ratio,Hypothesis grounding ratio,automatic,False,1.0000
real_case_study_v1,federated_learning_x_privacy,pipeline,hypothesis_plausibility_proxy,Hypothesis plausibility (proxy),automatic,True,0.3333
real_case_study_v1,federated_learning_x_privacy,pipeline,experiment_design_completeness,Experiment-design completeness,automatic,False,0.8889
real_case_study_v1,causal_inference_x_clinical_ml,keyword,evidence_citation_validity,Evidence citation validity,automatic,False,1.0000
real_case_study_v1,causal_inference_x_clinical_ml,keyword,evidence_grounding_precision,Evidence grounding precision,automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,keyword,hallucination_rate,Hallucination rate,automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,keyword,citation_coverage,Citation coverage (recall),automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,keyword,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,causal_inference_x_clinical_ml,keyword,intersection_relevance,Intersection relevance (proxy),automatic,True,0.6667
real_case_study_v1,causal_inference_x_clinical_ml,keyword,hypothesis_grounding_ratio,Hypothesis grounding ratio,automatic,False,1.0000
real_case_study_v1,causal_inference_x_clinical_ml,keyword,hypothesis_plausibility_proxy,Hypothesis plausibility (proxy),automatic,True,0.5000
real_case_study_v1,causal_inference_x_clinical_ml,keyword,experiment_design_completeness,Experiment-design completeness,automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,embedding,evidence_citation_validity,Evidence citation validity,automatic,False,1.0000
real_case_study_v1,causal_inference_x_clinical_ml,embedding,evidence_grounding_precision,Evidence grounding precision,automatic,False,0.3333
real_case_study_v1,causal_inference_x_clinical_ml,embedding,hallucination_rate,Hallucination rate,automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,embedding,citation_coverage,Citation coverage (recall),automatic,False,0.3333
real_case_study_v1,causal_inference_x_clinical_ml,embedding,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,causal_inference_x_clinical_ml,embedding,intersection_relevance,Intersection relevance (proxy),automatic,True,0.5000
real_case_study_v1,causal_inference_x_clinical_ml,embedding,hypothesis_grounding_ratio,Hypothesis grounding ratio,automatic,False,1.0000
real_case_study_v1,causal_inference_x_clinical_ml,embedding,hypothesis_plausibility_proxy,Hypothesis plausibility (proxy),automatic,True,0.3333
real_case_study_v1,causal_inference_x_clinical_ml,embedding,experiment_design_completeness,Experiment-design completeness,automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,llm_only,evidence_citation_validity,Evidence citation validity,automatic,False,
real_case_study_v1,causal_inference_x_clinical_ml,llm_only,evidence_grounding_precision,Evidence grounding precision,automatic,False,
real_case_study_v1,causal_inference_x_clinical_ml,llm_only,hallucination_rate,Hallucination rate,automatic,False,
real_case_study_v1,causal_inference_x_clinical_ml,llm_only,citation_coverage,Citation coverage (recall),automatic,False,0.0000
real_case_study_v1,causal_inference_x_clinical_ml,llm_only,research_gap_relevance,Research-gap relevance (proxy),automatic,True,
real_case_study_v1,causal_inference_x_clinical_ml,llm_only,intersection_relevance,Intersection relevance (proxy),automatic,True,1.0000
