eval_id,rater,case_id,surface,title,description,research_gap,evidence_references,relevance,novelty,plausibility,evidence_quality,notes
EV-000597cfbb,,knowledge_graph_x_question_answering,gap,,Explicit limitation reported: The abstract of 'Developing constructs for psychopathology research: Research domain criteria.' does not report evaluation beyond mechanisms.,Explicit limitation reported: The abstract of 'Developing constructs for psychopathology research: Research domain criteria.' does not report evaluation beyond mechanisms.,Developing constructs for psychopathology research: Research domain criteria.,,,,,
EV-01043dcf0a,,materials_discovery_x_active_learning,gap,,No source paper in the retrieved set jointly covers 'Advanced Chemical Physics Studies' across Machine learning for materials discovery and Active learning for experimental design; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Advanced Chemical Physics Studies' across Machine learning for materials discovery and Active learning for experimental design; a combined treatment is missing.,Recent advances and applications of machine learning in solid-state materials science; Materials discovery and design using machine learning; Machine learning the quantum-chemical properties of metal–organic frameworks for accelerated materials discovery,,,,,
EV-01147e73d9,,gnn_x_protein_structure,gap,,Explicit limitation reported: The abstract of 'Developing constructs for psychopathology research: Research domain criteria.' does not report evaluation beyond mechanisms.,Explicit limitation reported: The abstract of 'Developing constructs for psychopathology research: Research domain criteria.' does not report evaluation beyond mechanisms.,Developing constructs for psychopathology research: Research domain criteria.,,,,,
EV-0124cc5730,,single_cell_x_transfer_learning,gap,,No source paper in the retrieved set jointly covers 'Extracellular vesicles in disease' across Single-cell genomics and Transfer learning in bioinformatics; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Extracellular vesicles in disease' across Single-cell genomics and Transfer learning in bioinformatics; a combined treatment is missing.,SCANPY: large-scale single-cell gene expression data analysis; GSVA: gene set variation analysis for microarray and RNA-Seq data; limma powers differential expression analyses for RNA-sequencing and microarray studies,,,,,
EV-02c0fa7a26,,causal_inference_x_clinical_ml,gap,,No source paper in the retrieved set jointly covers 'Advanced Causal Inference Techniques' across Causal inference in epidemiology and Machine learning for clinical prediction; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Advanced Causal Inference Techniques' across Causal inference in epidemiology and Machine learning for clinical prediction; a combined treatment is missing.,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods; Machine learning applications in cancer prognosis and prediction; Mendelian randomization: genetic anchors for causal inference in epidemiological studies,,,,,
EV-0448aab2a1,,causal_inference_x_clinical_ml,gap,,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-044c6a6d33,,gnn_x_protein_structure,gap,,"Future-work opportunity: Extending 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' to broader settings is suggested by the absence of such results in the abstract.","Future-work opportunity: Extending 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' to broader settings is suggested by the absence of such results in the abstract.","The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-04c45246f6,,clinical_nlp_x_ehr,gap,,Explicit limitation reported: The abstract of 'A large language model for electronic health records' does not report evaluation beyond clinical.,Explicit limitation reported: The abstract of 'A large language model for electronic health records' does not report evaluation beyond clinical.,A large language model for electronic health records,,,,,
EV-057d574579,,knowledge_graph_x_question_answering,gap,,Future-work opportunity: Extending 'Variational Reasoning for Question Answering With Knowledge Graph' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Variational Reasoning for Question Answering With Knowledge Graph' to broader settings is suggested by the absence of such results in the abstract.,Variational Reasoning for Question Answering With Knowledge Graph,,,,,
EV-06380655b8,,knowledge_graph_x_question_answering,gap,,Future-work opportunity: Extending 'Research Domain Criteria (RDoC): Toward a New Classification Framework for Research on Mental Disorders' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Research Domain Criteria (RDoC): Toward a New Classification Framework for Research on Mental Disorders' to broader settings is suggested by the absence of such results in the abstract.,Research Domain Criteria (RDoC): Toward a New Classification Framework for Research on Mental Disorders,,,,,
